Process Name,PID,CPU Percent,Memory Percent
sysdiagnose,1832,0.0,0.008869171142578125
proactived,1845,0.0,0.002574920654296875
media-indexer,1885,0.0,0.04749298095703125
AMPLibraryAgent,1886,0.0,0.04711151123046875
PerfPowerServices,1935,0.0,0.15082359313964844
USBAgent,1950,0.0,0.0025272369384765625
PowerChime,1981,0.0,0.04582405090332031
Google Chrome Helper (Renderer),2030,0.0,1.0620594024658203
Google Chrome Helper (Renderer),2034,0.0,0.1792430877685547
Google Chrome Helper (Renderer),2051,0.0,0.2491474151611328
com.apple.appkit.xpc.openAndSavePanelService,2289,0.0,0.06480216979980469
QuickLookUIService,2290,0.0,0.023317337036132812
System Settings,6994,0.0,0.1659870147705078
AppleIDSettings,6996,0.0,0.08435249328613281
PowerPreferences,6997,0.0,0.1990795135498047
FollowUpSettingsExtension,6998,0.0,0.027990341186523438
Touch ID & Password,6999,0.0,0.023794174194335938
FamilySettings,7000,0.0,0.06885528564453125
HeadphoneSettingsExtension,7009,0.0,0.023126602172851562
ClassroomSettings,7010,0.0,0.03390312194824219
TrackpadExtension,7011,0.0,0.026798248291015625
CDs & DVDs Settings Extension,7012,0.0,0.023126602172851562
WalletSettingsExtension,7013,0.0,0.026988983154296875
ClassKitSettings,7014,0.0,0.023698806762695312
VPN,7015,0.0,0.023317337036132812
Family,7016,0.0,0.08101463317871094
GameControllerMacSettings,7017,0.0,0.028181076049804688
MouseExtension,7018,0.0,0.028085708618164062
remindd,7029,0.0,0.06690025329589844
Google Chrome Helper (Renderer),8006,0.0,0.6737232208251953
netbiosd,8043,0.0,0.03247261047363281
Google Chrome Helper (Renderer),8049,0.0,3.1626224517822266
Google Chrome Helper (Renderer),8169,0.0,0.9748458862304688
Google Chrome Helper (Renderer),8177,0.0,0.8267402648925781
PlugInLibraryService,8180,0.0,0.012350082397460938
Electron,8181,0.0,0.9833812713623047
chrome_crashpad_handler,8184,0.0,0.026464462280273438
Code Helper (GPU),8185,0.0,0.36754608154296875
Code Helper,8186,0.0,0.182342529296875
VTDecoderXPCService,8187,0.0,0.04630088806152344
Code Helper (Renderer),8188,0.0,0.5227565765380859
Code Helper (Plugin),8206,0.0,0.2583026885986328
Code Helper,8207,0.0,0.3621101379394531
Code Helper,8208,0.0,0.2292633056640625
Code Helper,8209,0.0,0.23522377014160156
Code Helper (Plugin),8216,0.0,0.2014636993408203
Code Helper (Plugin),8217,0.0,0.2048492431640625
Code Helper (Plugin),8224,0.0,0.19683837890625
Code Helper (Renderer),8241,0.0,1.8534660339355469
com.apple.appkit.xpc.openAndSavePanelService,8262,0.0,0.26092529296875
QuickLookUIService,8263,0.0,0.12097358703613281
ThumbnailExtension_macOS,8267,0.0,0.12307167053222656
QuickLookSatellite,8278,0.0,0.059413909912109375
Code Helper,8282,0.0,0.24437904357910156
Code Helper (Plugin),8283,0.0,0.4374980926513672
login,8398,0.0,0.03261566162109375
bash,8399,0.0,0.014209747314453125
Code Helper (Plugin),8482,0.0,0.40130615234375
